text,label
"Prezado Time de Produto, a nova regra de validação no formulário de checkout está rejeitando cartões de débito de bandeiras internacionais que antes eram aceitos. Isso resultou em 12% de abandono de carrinho nas últimas 3 horas, conforme o relatório do Google Analytics anexo. Precisamos de um rollback imediato ou um ajuste na whitelist de BINs. Qual a estimativa para a correção?",Produtivo
"Olá [Nome do Cliente], recebemos sua notificação sobre a falha na sincronização de dados entre a API e o nosso painel de controle. Para investigar, precisamos urgentemente dos logs de erro do seu servidor das últimas 24 horas e o ID da requisição que falhou. Sem esses dados, não conseguiremos isolar o problema. Favor encaminhar a documentação técnica o mais breve possível.",Produtivo
"Caros fornecedores, a NF-e n° 45678 referente ao serviço de consultoria de Março/2025 está com o código de serviço incorreto, o que está bloqueando o pagamento pelo setor fiscal. Solicitamos que a nota seja cancelada e uma nova seja emitida até o fim do dia de hoje com o código 01.05 (Licenciamento ou cessão de direito de uso de programas de computação). Por favor, confirmem o reenvio.",Produtivo
"Time de Conteúdo, a auditoria de SEO identificou 45 páginas do blog com 'Conteúdo Fino' (Thin Content) que estão prejudicando o ranqueamento geral. Para reverter isso, peço que a prioridade desta semana seja o enriquecimento dessas páginas com no mínimo 500 palavras adicionais. Anexei a planilha de priorização. Preciso do status de conclusão das 10 primeiras páginas até amanhã às 17h.",Produtivo
"RH e DP, o colaborador André Souza apresentou um atestado médico de 15 dias que excede o período de responsabilidade da empresa. Solicitamos a abertura do processo de afastamento pelo INSS (protocolo de agendamento de perícia) e o ajuste na folha de pagamento para que o salário dele não seja integralmente pago no próximo ciclo. Favor enviar o protocolo de agendamento.",Produtivo
"Reunião de Escopo: A proposta comercial do Projeto Ômega está pronta para ser enviada, mas o departamento Jurídico fez algumas objeções nas cláusulas de rescisão. Gostaria de agendar uma reunião de 30 minutos, apenas com o Gerente Jurídico e o Gerente de Vendas, amanhã (Quinta-feira) às 11h, para resolver estes pontos e obter a aprovação final. Confirmação de disponibilidade solicitada.",Produtivo
"Comitê de Infraestrutura, precisamos discutir a viabilidade técnica de migrar o banco de dados principal do PostgreSQL para o MongoDB, conforme sugerido pelo CTO. Favor preparar uma análise de custo-benefício, performance e risco, focando na curva de aprendizado da equipe. A apresentação desta análise é o único item da pauta da próxima reunião estratégica. Enviem a análise até o final do dia.",Produtivo
"Olá [Nome do Vendedor], o cliente potencial 'Tech Solutions' solicitou uma demonstração personalizada focada em suas necessidades de segurança de dados. Diferente do nosso pitch padrão, eles pediram para incluir um módulo de 'Compliance com LGPD'. Você pode preparar a apresentação com este foco e confirmar o agendamento para a próxima terça-feira às 14h, horário local do cliente (GMT-4)?",Produtivo
"Pessoal, a planilha de controle de inventário de hardware está desatualizada. Faltam informações sobre 50 novos notebooks recebidos na semana passada, e o valor de depreciação do servidor T-3000 não foi inserido. Por favor, a Patrícia e o Marcos devem parar as tarefas secundárias e focar na atualização completa desta planilha em até 2 horas. Reportem 'Concluído' ao terminar.",Produtivo
"Time Financeiro, recebemos uma cobrança dupla do sistema de telefonia, totalizando R$ 3.450,00 a mais do que o contratado. Por favor, abram um chamado de contestação de fatura junto à operadora e mantenham o pagamento da fatura original suspenso até a resolução. Anexei o extrato bancário. Qual o prazo para o primeiro contato com a operadora?",Produtivo
"Solicito a criação de 5 contas de e-mail (nome@empresa.com.br) para os novos funcionários que iniciarão na segunda-feira. Os nomes são: Laura Mendes, Igor Nunes, Camila Rios, Paulo Sena e Victor Lima. Favor também adicionar a 'Laura Mendes' ao grupo de 'Gestores de Projetos'. Envie a lista das novas credenciais por SMS ao RH.",Produtivo
"Precisamos renegociar o contrato de locação do escritório. O proprietário enviou um aditivo com reajuste de 15%, o que é inaceitável. Favor preparar uma contraproposta de 7% de reajuste máximo, justificando o atual valor de mercado da região. Anexei o parecer imobiliário de mercado. Favor marcar uma reunião de alinhamento antes do envio.",Produtivo
"Time de Suporte, o cliente 'Alpha S.A.' reportou que o link de rastreio automático do pedido 9087 está quebrado e direcionando para um erro 404. Peço que a prioridade máxima seja a correção deste link no sistema e a comunicação imediata com o cliente, enviando o link de rastreio manual correto. Reportem assim que o cliente for avisado.",Produtivo
